molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
SA_EUPH_00008.mol,SAF,0,0,0,1,0,4,0,-1,328.407,3.601,533.253,209.364,118.224,205.666,0,1003.756,1,4.5,0.0129181,0.0084388,0.9091806,33.412,10.296,15.051,8.22,3.78,-3.774,-4.6,-2.175,189.839,-0.631,104.426,-2.59,9.226,0.377,3,0.178,3,89.858,0,0,78.422,4,0,15,0,15,6,24,0,0.148
SA_EUPH_00009.mol,SAF,1,0,0,0,0,3,0,0,304.472,3.569,543.562,451.151,92.411,0,0,1008.225,2,3.4,0.0126306,0.008846,0.8945841,32.269,8.86,15.038,7.272,3.37,-4.33,-3.68,-3.238,1316.941,-0.387,666.173,-2.935,10.399,-2.663,2,0.522,3,100,0,0,43.531,2,0,16,3,13,16,22,0,0.017
SA_EUPH_00010.mol,SAF,1,0,0,0,0,4,0,0,304.472,2.279,539.726,456.05,83.676,0,0,1006.478,2,3.4,0.0051583,0.0089088,0.899901,31.557,8.808,14.624,6.983,3.422,-4.101,-3.68,-3.152,1593.673,-0.366,818.69,-2.678,10.285,-2.747,2,0.477,3,100,0,0,41.82,2,0,16,3,13,16,22,0,0.051
SA_EUPH_00013.mol,SAF,0,0,0,0,0,1,1,1,316.439,3.694,516.428,452.049,42.836,21.543,0,1000.737,0,4.5,0.0136387,0,0.9369179,33.459,8.369,13.128,5.612,3.361,-3.485,-3.597,-2.655,3887.603,0.178,2146.478,-2.137,9.827,-0.073,4,0.277,3,100,0,0,46.735,3,0,17,3,9,10,23,0,0.756
SA_EUPH_00014.mol,SAF,0,0,0,0,0,1,0,0,300.44,5.829,556.943,461.507,61.189,34.247,0,1045.656,0,3,0.0324924,0,0.8945678,35.378,8.767,13.256,4.443,4.273,-5.038,-3.973,-3.401,2603.994,-0.007,1391.899,-2.431,9.496,0.395,7,0.809,3,100,0,0,40.488,2,0,16,0,5,6,22,1,0.01
SA_EUPH_00015.mol,SAF,0,0,0,0,0,2,0,0,318.455,5.825,547.438,436.473,85.324,25.641,0,1054.722,1,3.75,0.0321648,0.0068501,0.9153535,35.017,9.279,15.123,6.509,3.793,-4.585,-3.961,-3.024,1537.351,-0.236,787.462,-2.81,9.75,0.401,7,0.704,3,100,0,0,56.245,3,0,16,0,5,8,23,1,0.013
SA_EUPH_00016.mol,SAF,0,0,0,0,0,2,0,0,318.455,6.822,549.107,459.542,68.686,20.88,0,1063.904,1,3.75,0.0437446,0.0068293,0.9178591,35.339,9.221,15.316,6.367,3.962,-4.615,-3.961,-2.961,2210.815,-0.101,1166.193,-2.52,9.577,0.228,7,0.73,3,100,0,0,53.435,3,0,16,0,5,8,23,1,0.023
SA_EUPH_00017.mol,SAF,3,0,0,1,0,2,1,-1,498.745,3.821,772.389,660.675,98.305,13.409,0,1547.474,1,4,0.0094326,0.0051787,0.8376798,54.62,13.44,21.801,7.301,7.224,-8.55,-7.823,-2.415,293.275,-0.491,167.1,-3.092,9.624,-0.883,1,1.834,1,100,0,0,75.094,4,1,22,0,22,20,36,1,0
SA_EUPH_00020.mol,SAF,0,0,0,0,0,0,0,0,342.391,3.575,513.935,307.362,87.576,118.997,0,984.564,0,6.5,0.0129807,0,0.9312934,34.385,9.195,14.914,8.763,2.086,-2.553,-3.94,-3.211,1463.571,-0.11,746.694,-2.714,9.608,-0.081,4,-0.263,3,95.815,0,0,79.214,5,0,21,0,21,10,25,0,1.851
SA_EUPH_00021.mol,SAF,1,0,0,0,0,3,0,0,304.472,2.331,540.002,461.9,78.102,0,0,1009.517,2,3.4,0.0053806,0.0089043,0.9012498,32.321,8.802,14.906,7.166,3.48,-4.268,-3.68,-3.13,1799.939,-0.258,933.799,-2.671,10.396,-2.613,2,0.528,3,100,0,0,40.814,2,0,16,3,13,16,22,0,0.035
